CODE,NAME,POST_CODE_PREFIX,
DL,Delhi,11,
HR,Haryana,12–13,
PB,Punjab,14–15,
CH,Chandigarh,16,
HP,Himachal Pradesh,17,
JK,Jammu and Kashmir,18–19,
UP,Uttar Pradesh,20–28,
UT,Uttarakhand,20–28,
RJ,Rajasthan,30–34,
DD,Daman and Diu,396210,
DN,Dadra and Nagar Haveli,396,
GJ,Gujarat,36–39,
GA,Goa,403,
MH,Maharashtra,40–44,
MP,Madhya Pradesh,45–48,
CT,Chhattisgarh,49,
TG,Telangana,50,
AP,Andhra Pradesh,51–53,
KA,Karnataka,56–59,
PY,Puducherry,605,
TN,Tamil Nadu,60–66,
LD,Lakshadweep,682,
KL,Kerala,67–69,
SK,Sikkim,737,
AN,Andaman and Nicobar Islands,744,
WB,West Bengal,70–74,
OR,Odisha,75–77,
AS,Assam,78,
AR,Arunachal Pradesh,790–792,
ML,Meghalaya,793–794,
MN,Manipur,795,
MZ,Mizoram,796,
NL,Nagaland,797–798,
TR,Tripura,799,
BR,"Bihar, ",80–85
JH,Jharkhand,80–86,
AP,Army Postal Service,90–99,
LH,Ladakh,18–19,
